MDA-MB-231 cells - No treatment [Sample 1]	MDA-MB-231 cells - only 5-ALA [Sample 2]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 3]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 4]	MDA-MB-231 cells - No treatment [Sample 5]	MDA-MB-231 cells - only 5-ALA [Sample 6]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 7]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 8]	MDA-MB-231 cells - No treatment [Sample 9]	MDA-MB-231 cells - only 5-ALA [Sample 10]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 11]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 12]	
8152946	131.1724	130.747	142.4355	144.151	157.7322	143.715	157.6876	145.4445	142.7095	133.7516	153.243	135.1054
8152962	50.7576	55.8938	49.3496	52.0671	52.0121	57.7394	48.8787	51.5852	50.4766	53.5688	50.6221	50.0316
8152976	325.0144	309.7514	833.033	337.1681	342.1158	368.9936	869.1926	309.6243	245.3789	320.5864	794.9679	244.5299
8152988	55.9608	59.4238	67.588	68.7135	62.865	62.495	64.8956	66.3789	63.91	52.2187	70.6793	57.8096
8153002	3536.754	3435.9543	3687.1982	3290.0525	3855.2773	3720.998	3721.483	3177.1714	4200.07	3730.8467	3874.535	3294.6223
8153021	588.6491	513.2283	1210.499	544.1251	612.2282	651.3976	1405.7521	490.5117	731.2097	738.1754	1482.3308	577.806
8153035	24.3137	23.1366	23.7418	22.9191	23.612	23.2895	25.5243	23.3605	23.537	25.6918	23.726	23.1998
8153037	45.8864	41.9964	47.2263	43.0158	48.9458	48.2401	47.2789	48.626	48.2499	42.881	44.5363	45.9411
8153039	48.0254	48.2933	46.1211	45.9206	48.1427	48.0659	48.4237	48.4723	43.0058	45.1942	44.4928	47.3118
8153041	56.2768	81.6877	72.536	58.018	61.0141	57.3212	59.2224	71.1032	64.542	63.9417	61.7012	62.1237
8153043	496.8776	465.2455	468.9173	477.5011	496.7006	498.4237	492.1141	485.5228	416.2589	472.1168	422.8403	474.4107
8153065	28.7919	27.4727	27.0708	27.7028	26.2258	26.7802	27.0943	28.0219	27.0799	29.0307	29.3147	28.901
8153067	29.3878	30.0493	29.7642	29.4415	28.2729	32.531	32.2028	30.3741	31.3317	33.3546	31.1183	31.4567
8153069	25.5528	24.8853	26.4115	25.8315	25.5188	26.412	26.9203	25.0042	25.9548	25.8409	27.791	26.4363
8153071	63.4781	65.6456	59.4694	65.0243	63.5802	71.0592	66.3124	68.2795	70.5495	67.4519	64.1956	63.8386
8153101	162.9887	164.9753	160.6799	166.8051	159.0076	160.0004	151.5431	175.5445	175.4786	161.2964	169.4283	180.1764
8153167	93.5085	99.7034	97.8449	101.5352	99.2302	96.7185	99.5748	100.4171	94.8737	100.9877	92.5599	107.65
8153175	482.0435	463.6362	311.3793	501.8785	473.6695	544.6592	338.4363	490.5261	481.8904	471.1286	352.7795	487.9416
8153201	1273.4113	1289.0182	1262.6643	1505.4082	1404.8687	1537.696	1299.5807	1550.5704	1437.7975	1534.0481	1347.2667	1662.1176
8153223	2377.5193	2332.974	2409.9824	2139.505	2202.0613	2388.0723	2394.8037	2064.1624	2416.143	2296.4453	2350.1392	1923.0717
8153258	117.2783	108.2648	104.0318	130.1928	116.3536	112.0951	136.4252	116.1865	110.5021	94.3554	91.5759	115.608
8153262	182.1429	180.0484	181.2017	211.8124	181.0285	190.6632	182.9483	167.6415	179.5739	173.5927	187.1171	186.9281
8153269	158.896	178.1612	158.1099	157.1719	194.301	169.3543	170.6522	179.941	168.0739	156.2097	193.0616	182.0658
8153273	117.831	115.9474	113.2611	110.3508	115.6128	120.9874	129.425	131.2901	113.8232	108.9179	116.2119	121.6134
8153304	152.0744	140.5061	155.4561	146.3123	169.8445	167.0463	172.4302	144.3055	156.4588	155.4161	170.7599	161.655
8153320	212.3736	224.2128	199.8078	219.4326	222.3991	211.487	210.5598	201.2781	223.7197	194.2721	218.5211	209.9047
8153322	257.5273	256.489	278.2025	243.4953	277.2462	274.7004	272.7353	282.0092	312.9643	267.2174	282.4555	330.4012
8153328	179.9283	189.1239	197.5636	201.9429	225.5709	214.0116	194.3194	207.1787	207.7427	182.8921	201.2042	224.6231
8153334	165.0258	159.0699	173.5991	166.5904	167.3062	189.2733	158.279	211.9982	203.7728	149.2875	185.3125	188.7655
8153336	130.3202	126.5453	131.6772	121.9893	128.5668	133.4926	132.0727	135.2721	137.932	126.6295	137.5014	134.1994
8153342	164.1187	175.4423	166.3949	172.0207	165.6455	165.2291	162.0116	169.1592	178.4815	155.2407	172.6399	177.8925
8153346	205.7366	219.4893	195.2857	206.4209	209.219	209.0429	202.4831	215.0149	208.9191	189.1982	202.4489	231.4698
8153359	282.7036	290.0246	261.7616	283.2233	308.3375	289.8091	250.9699	308.0487	294.3253	283.7504	304.0078	321.7805
8153363	162.8008	182.595	146.1122	152.1161	174.9246	156.0601	171.4753	178.5635	171.2617	144.6011	184.1513	172.7136
8153373	112.9336	123.592	108.8809	105.4034	120.8186	108.5849	96.1429	106.2812	115.3371	90.7746	116.9068	115.2013
8153380	236.6426	240.5531	230.7306	219.9053	252.1698	235.8319	217.1801	267.8514	250.0305	256.3417	266.3032	265.5031
8153390	783.4308	698.2109	616.0382	665.1758	730.0958	802.6283	729.6932	656.0901	762.933	856.7001	719.8004	611.433
8153405	144.1225	140.6298	144.0863	153.0523	115.3587	124.224	124.4968	137.0852	131.7196	129.2234	147.3263	143.8139
8153409	213.6129	201.1217	213.7954	201.831	254.9404	245.0438	217.9819	222.3259	231.6056	220.324	209.4413	240.3874
8153411	321.903	316.794	343.2034	318.3924	340.7611	361.7049	361.9683	338.7545	373.2528	350.4544	372.7952	336.5595
8153424	226.7903	282.6787	194.3254	184.4199	237.4845	245.493	216.586	177.597	263.829	228.1115	169.9764	164.5744
8153426	326.6771	367.7625	298.5398	334.231	309.7858	361.6892	359.4476	359.9784	351.603	384.3063	376.7236	442.8584
8153430	504.3379	524.7349	541.8121	497.9997	508.9203	520.7077	546.5009	511.8111	557.3055	486.2708	596.1272	518.5092
8153449	3539.2961	3466.5354	3155.3538	3682.9343	3445.891	3586.7998	3187.0564	3435.8186	3753.9968	3656.247	3413.415	3601.9124
8153457	244.2242	261.999	251.4109	210.8796	191.9965	223.0126	191.1017	186.5619	229.3791	285.3048	220.6423	207.2914
8153459	302.7701	295.9045	327.2109	294.3268	306.035	315.267	319.1867	271.228	302.3867	307.317	336.7692	318.1639
8153474	1012.6909	936.5076	1403.0337	999.8035	937.4122	982.9135	1193.648	851.4957	919.257	958.2548	1262.436	890.6783
8153486	195.7628	175.4655	184.4699	184.7739	184.4659	186.5796	175.3483	220.919	195.1956	173.4231	183.8947	175.9746
8153488	321.4946	316.1385	268.464	319.9621	344.2094	362.3937	302.8419	312.1934	371.1002	323.8875	299.5441	325.7293
8153497	297.1215	295.4281	282.4583	298.9794	296.922	294.5215	281.2459	273.3145	305.5264	287.5994	302.6762	286.3988
8153536	737.753	722.3359	750.6193	692.5134	732.2312	727.5452	760.6559	674.7792	678.2399	682.2333	755.5399	689.181
8153550	391.9549	410.9226	284.6921	460.1936	435.9338	444.5729	276.9658	455.0723	394.8581	398.3979	271.5959	487.3258
8153568	1998.5194	1992.6478	2138.5745	2155.3684	1940.5074	1950.144	2057.9426	2059.2307	2182.9805	1904.0033	2178.9849	2282.2546
8153609	239.3719	281.6458	253.6893	247.4006	267.8159	270.3803	264.4089	267.8545	264.3177	246.8936	283.5402	275.8742
8153625	258.4352	254.3228	237.9238	272.3449	270.7126	270.7493	232.8368	270.8948	276.18	233.5259	267.3486	302.5897
8153652	624.5465	619.8644	808.3073	720.1918	716.8009	678.1769	918.9722	722.8707	675.5492	645.9649	939.5624	766.3953
8153664	637.7515	616.2607	743.7598	538.783	598.6783	622.8216	780.2036	502.6017	716.8435	666.6498	804.612	629.2725
8153678	618.0668	592.2094	698.7017	585.5286	626.4882	613.5374	712.8605	561.7467	681.179	684.0499	721.3388	682.0454
8153684	873.2733	868.1696	1009.6477	977.7152	862.2261	905.8013	1036.9396	917.2571	804.9608	801.574	1008.5593	842.1118
8153704	111.8117	113.0313	110.4487	111.5973	121.6	123.7238	114.388	116.2312	113.7456	118.1344	121.9353	129.505
8153709	219.1511	225.6123	197.1311	196.2611	202.2684	217.3798	215.4101	231.2233	239.7475	220.0689	236.7168	242.7053
8153727	582.7629	566.9227	653.8978	634.7425	615.3793	597.2995	689.0195	620.8604	625.9263	598.8852	636.5817	623.9213
8153762	337.712	361.1633	347.3074	346.35	367.9318	354.0146	345.7868	384.9401	386.2741	359.2271	400.0356	386.8203
8153776	915.5846	893.801	1266.1692	986.663	1030.6497	1016.1453	1461.0966	1006.5922	1008.3218	1026.9126	1471.6735	1008.2195
8153790	283.6956	286.8387	281.6686	311.6104	288.406	302.3669	282.0176	261.9052	300.143	294.9825	324.6922	305.4665
8153819	438.2687	488.4347	539.9731	620.1552	465.2871	484.067	456.8836	511.2152	440.4195	468.5157	368.7277	429.4206
8153823	312.8369	319.402	369.2457	341.6375	336.0512	322.6339	387.0461	359.7332	278.3439	326.0883	395.4004	315.549
8153828	186.6097	187.1239	179.8011	180.5054	175.562	174.3657	192.399	179.1848	193.8217	172.2183	177.9051	193.2112
8153835	114.4719	98.6024	105.529	121.7203	117.2555	117.0126	107.4978	107.8125	121.0075	103.4985	125.7122	124.7815
8153838	425.8731	454.9211	507.552	461.3085	457.132	441.094	472.8909	494.5624	464.029	433.681	479.6219	511.1858
8153862	284.1819	267.5007	253.3659	269.77	275.1097	310.8621	251.4304	292.5592	293.8398	285.2616	280.1183	297.4141
8153868	424.5009	399.0891	361.6466	416.7966	389.8968	407.212	352.5409	359.8063	409.0361	363.1784	372.0359	424.4296
8153876	217.2999	204.2813	251.3856	201.3143	231.3115	217.1685	241.8086	206.1331	251.6724	208.6001	245.9546	233.5554
8153890	412.3037	419.4359	455.1611	374.8106	405.3478	396.8588	414.4798	403.8512	431.7959	339.6339	396.8588	315.9412
8153896	98.7559	105.0828	125.7703	108.801	101.1706	104.2825	126.5883	98.9559	113.4201	94.4247	108.7977	105.2352
8153903	13870.7295	13277.303	14090.975	13573.377	13293.696	13682.062	14209.08	13673.915	13337.487	13549.192	13652.291	13247.417
8153911	346.9924	357.3967	341.6597	366.9679	350.2659	338.2684	362.0797	345.9778	356.5902	339.193	366.2488	369.5489
8153920	224.129	227.8272	254.5586	246.252	240.6337	249.1998	247.481	223.6552	292.6691	276.5949	247.6112	246.2757
8153930	249.7208	239.8455	249.6644	279.3614	285.9886	266.9747	279.6112	257.706	175.8165	270.6101	261.7455	258.1677
8153935	441.9626	458.9855	573.1892	470.5198	466.7698	442.9992	514.1162	389.0229	257.1513	440.8145	462.2113	339.4059
8153937	142.1532	147.9126	139.4728	144.6097	147.3471	157.8237	139.7642	166.0323	139.0747	130.2701	145.7071	176.2441
8153939	873.8447	868.7872	1010.3225	978.1132	862.5668	905.986	1038.1294	917.2196	805.2618	802.8701	1008.8073	842.3406
8153959	76.6588	79.0643	70.172	75.2557	73.6948	71.7209	74.4175	76.4447	81.9123	73.3713	76.6386	79.2265
8154012	103.9329	109.6067	125.1388	109.2461	110.8843	105.4399	130.4208	109.9637	105.6023	105.77	123.8262	104.7297
8154034	81.0616	85.2487	82.8219	84.4749	81.3797	85.6143	79.9149	81.4323	83.3606	86.3828	90.2389	101.3443
8154043	113.1819	110.7685	118.6551	118.6998	129.8673	124.6494	121.8654	123.8397	109.0784	106.6691	114.7318	128.8703
8154047	42.5684	40.7611	42.7646	42.7043	45.5013	46.4429	46.05	44.1829	44.1978	44.723	42.3094	44.1958
8154057	26.8736	25.9699	29.7479	26.8917	28.1819	27.8546	27.3413	27.2443	26.6886	28.8045	27.1496	27.0143
8154059	507.4646	452.8486	648.583	522.5203	498.5886	508.7238	690.2396	462.4958	520.9576	524.1938	680.1074	531.772
8154100	366.3694	341.2174	507.0093	378.3339	365.0448	398.6928	544.1915	344.3867	372.1531	386.8137	536.9354	304.2176
8154124	67.1097	64.4874	64.7758	62.3593	71.6294	71.6104	67.7941	73.0661	64.3698	67.8225	71.1719	65.3759
8154128	26.3278	25.3922	27.0223	25.9206	26.5088	26.2498	27.0126	25.8858	25.7419	29.8241	25.9034	26.1385
8154130	59.9549	57.7036	51.2853	53.8717	51.7858	54.1147	61.786	58.0176	55.4739	56.3266	54.5348	60.0016
8154132	77.6983	83.5766	76.1448	76.5114	82.6185	71.5049	84.2737	90.2205	81.0704	85.9971	76.3809	86.4007
8154135	94.9846	88.0237	93.6841	85.5459	95.2027	95.3884	92.7127	89.0873	107.1122	110.4117	95.7078	83.5978
8154151	177.8611	153.4256	136.5802	175.4709	166.1783	163.5993	169.4239	160.256	130.8642	157.2088	149.0529	160.5615
8154153	124.3252	119.3098	140.8176	130.5768	123.2152	116.7274	113.3293	111.9071	105.6436	126.9706	128.4941	147.732
8154163	234.5117	211.2617	278.8597	201.1292	217.9647	238.8522	291.433	178.0133	192.0073	222.6609	278.6281	191.6836
8154176	24.6532	24.9418	26.2682	25.7804	24.8002	24.1927	24.8452	23.8807	25.1217	25.307	24.1692	23.748
8154178	79.9525	81.8051	115.6534	95.4284	94.0458	84.585	115.436	86.9206	80.6977	97.0458	110.6362	88.7781
8154207	66.3455	67.5843	82.3295	83.597	71.7995	73.3142	99.7849	78.6837	77.6116	75.8244	68.9195	71.6172
8154209	120.0297	103.0783	124.1474	106.2461	109.0318	116.9347	109.5739	126.8371	125.5917	112.392	115.0594	113.1326
8154211	46.0264	45.1594	52.9271	45.1424	53.5069	46.5505	54.8847	45.3454	51.6735	40.8474	45.9066	52.6458
8154213	21.7676	21.0568	22.0906	22.2776	22.0412	22.5936	23.0159	21.3432	21.6432	23.2516	20.9624	23.2249
8154215	22.6994	22.8087	23.0561	23.3642	22.6266	22.9114	22.9769	23.1224	22.9713	23.511	23.6484	22.9276
8154217	29.3103	28.7955	29.5783	30.9833	29.0474	29.3157	30.3784	29.568	31.8714	30.6554	31.086	29.3767
8154219	23.8869	24.5649	27.37	24.7895	23.8443	23.8092	25.3039	24.2183	25.3579	24.2621	24.3036	23.4434
8154221	23.9663	23.9948	24.7034	24.3072	23.0913	23.3681	25.0324	23.7971	23.4636	25.2471	24.2932	23.6671
8154223	23.3539	23.5211	25.5273	23.2618	23.7501	23.8332	23.259	25.8592	23.0956	23.9712	23.194	23.4512
8154225	51.8954	55.1789	77.3126	44.8466	43.2302	56.7924	76.8291	51.8725	65.9527	56.9581	57.5065	58.5911
8154227	62.5201	62.3755	63.077	56.1902	52.1129	67.4428	81.4695	65.3327	61.141	58.4252	64.2524	69.8778
8154229	40.3241	38.9141	34.331	38.2042	43.2913	38.4698	37.15	38.2251	38.0263	38.7747	38.6848	42.7171
8154233	572.1971	491.213	644.7206	346.1572	460.1185	561.0974	631.1541	247.0302	529.8193	596.2047	624.458	301.0935
8154245	409.5183	367.8655	618.3515	406.2883	402.1982	442.5726	667.1791	335.2953	333.783	450.5364	627.59	416.9779
8154254	201.1432	212.9294	260.5618	203.9661	196.936	208.3684	264.9296	173.8552	192.2637	222.9142	249.8246	191.7678
8154283	33.4692	32.5835	33.2357	33.9323	30.816	38.3669	29.5455	33.2909	37.9748	36.7762	34.5227	36.0434
8154285	44.5172	49.7122	47.0201	50.5427	50.6575	49.386	46.6356	53.6373	45.0104	42.9949	49.9776	55.9052
8154295	30.5385	31.1113	27.74	31.9716	31.7435	32.7626	29.8881	32.3398	30.4777	30.0186	32.1542	34.1775
8154305	5572.0547	5708.8203	6448.446	5726.1274	5389.745	4996.5034	5845.846	5483.7944	5509.3936	5361.2925	5161.093	5308.511
8154307	40.4728	37.5297	38.8645	37.1495	36.5808	37.308	37.36	38.7752	35.635	39.9207	38.0287	39.2334
8154316	479.5964	450.7798	501.6011	456.0538	408.7455	432.3438	494.5371	401.2564	444.6893	476.9105	455.7316	426.6514
8154333	121.3829	126.0946	106.3285	130.3379	120.0793	122.819	100.6941	115.7677	128.5992	146.7505	124.0168	117.7289
8154357	834.4271	830.5319	617.5541	879.3235	894.2932	843.9542	604.2303	929.7376	903.0317	779.1218	634.3221	911.489
8154359	3056.2634	3136.9407	3674.9126	2977.519	3572.2043	3492.7993	3781.9883	4071.8816	3526.178	3413.4553	3694.2864	3567.255
8154361	22.9034	23.7439	23.8674	24.2163	23.4074	24.4018	25.141	23.5679	23.7754	24.3405	24.2259	23.823
8154363	687.0937	692.5331	801.0222	694.6163	779.5698	789.3176	892.5954	869.332	766.4255	725.5903	832.2443	763.3795
8154365	91.0992	75.6239	104.1023	114.9447	75.7652	87.299	91.3606	72.7834	78.9657	82.5121	93.93	88.9367
8154367	49.8063	48.5196	46.8838	53.6055	51.2405	46.5836	48.2056	53.6809	49.3569	47.4221	49.0878	46.2689
8154379	46.4026	46.5388	40.2663	41.4194	40.7476	46.4591	44.7546	43.6988	43.6714	44.7628	47.0884	46.8374
8154381	634.6223	639.3124	390.8637	605.7195	672.4488	799.2085	454.9597	488.7537	403.5498	639.4921	466.482	530.5825
8154386	44.4113	50.7414	52.12	50.3991	49.8398	50.4563	57.5716	51.5338	50.8967	53.073	49.8669	59.7671
8154388	2124.3557	1925.4142	2190.2695	1850.8009	2514.701	2233.4414	2379.231	2167.4087	2305.4172	2415.1755	2129.555	2084.4656
8154392	51.0708	56.2903	49.8352	52.8947	59.7551	59.4201	57.9469	67.5841	53.091	52.6896	51.4968	67.3293
8154394	720.8885	737.226	795.6721	749.3961	697.2708	725.3553	847.2478	675.1591	779.4846	775.5842	860.3542	713.8862
8154414	26.6682	24.1957	24.5299	25.4351	25.684	25.5405	26.7098	26.675	25.8594	25.9072	26.789	24.3899
8154416	57.8371	62.2012	54.8406	62.7582	65.6741	61.5391	62.1088	62.016	58.0148	61.8284	63.4678	61.9774
8154447	54.7511	58.0216	56.1601	56.2184	63.1038	56.8068	58.0127	71.7413	61.7991	59.9608	62.5483	61.9967
8154449	33.0642	31.6236	34.2507	35.3988	33.9134	33.7233	34.4986	36.5064	33.4306	32.9117	33.3549	35.117
8154476	137.5248	148.4245	138.1552	134.7502	147.0785	146.058	147.2835	147.3481	138.4122	130.4481	130.2354	148.043
8154491	367.9591	362.2133	509.2886	378.7792	396.7506	376.208	548.6771	339.8815	456.3608	464.8617	623.9707	426.6063
8154510	32.2609	40.6053	34.6991	34.7759	34.342	32.0795	33.9697	31.9197	37.1849	33.2212	33.2496	37.3629
8154512	275.9496	256.2107	382.9774	264.9094	266.5987	275.5615	366.1784	231.4991	309.1357	306.2721	410.8879	294.1199
8154523	358.2643	376.6974	403.6956	361.4726	364.0375	380.403	407.5372	342.9647	431.2697	397.7092	438.1707	368.0663
8154527	161.9492	144.9405	156.4062	164.8844	130.1438	162.3364	151.9599	117.0333	147.5168	143.3055	162.6066	157.3891
8154529	30.0214	27.4669	28.5006	28.6066	27.7083	28.8456	29.9989	27.5089	29.4346	31.3253	29.0906	28.6222
8154531	504.9038	543.503	543.72	513.3693	509.6379	555.0938	595.7338	513.6084	586.7682	583.1355	610.4773	550.5933
8154563	116.4305	122.3655	139.6295	109.4818	113.6133	108.9362	102.4899	113.713	113.419	110.2383	114.7575	129.8938
8154572	28.3285	28.7368	26.587	29.6869	29.4178	26.8394	27.144	28.85	31.3432	27.7965	28.819	30.3433
8154574	87.928	97.5267	92.8477	91.0005	85.6405	92.1398	93.7043	92.5136	92.5916	86.6004	96.8469	89.7517
8154620	130.2273	146.8798	114.7209	128.7849	126.5691	125.3875	115.6157	119.6018	146.5811	131.0557	119.4139	129.1585
8154622	45.0291	47.9685	45.5686	47.0555	48.0361	47.9519	50.4587	48.0583	47.3373	51.7757	48.4323	55.2083
8154627	42	44.1509	43.2489	45.7208	49.0947	43.5435	46.8548	47.7733	42.9268	43.0068	44.23	45.94
8154635	49.3401	44.4663	49.099	47.8867	46.8297	47.5785	46.8334	43.69	47.9445	44.4761	50.7126	45.8285
8154654	88.5863	109.1751	80.9159	82.5706	94.7	80.6713	89.8757	99.1958	88.8572	83.993	93.8875	100.9572
8154656	218.1827	189.6769	198.1511	197.5505	199.8076	207.0788	182.9006	200.7242	196.0061	184.0081	227.8739	209.1437
8154660	37.4857	39.9395	43.5405	38.4918	42.6638	36.7642	37.6038	41.0964	35.5097	40.733	38.1703	40.2214
8154662	112.0833	130.1024	121.3626	118.7085	122.7861	124.9435	102.8309	147.9703	107.9051	164.4381	138.5504	125.4996
8154666	55.3277	58.7949	54.0194	54.4402	60.6378	57.284	53.9471	65.1302	58.8575	54.8493	52.2118	68.3329
8154668	29.7697	29.2923	28.4745	28.3086	30.1503	28.1997	26.7982	26.925	27.0244	31.5276	31.0658	28.8627
8154670	287.2687	266.8964	245.2616	321.1483	288.0445	292.7959	201.7284	274.6231	282.659	336.223	190.7279	316.1778
8154692	88.1401	77.26	100.6275	83.235	87.4489	86.5073	100.1676	82.7621	73.5941	88.1462	87.3943	85.6673
8154719	27.3644	27.5932	25.8736	29.3923	30.3413	28.6686	29.5836	31.5763	29.9048	31.0932	30.5561	31.2683
8154721	30.5088	31.0285	30.595	29.2099	30.3177	30.367	32.4781	30.9219	31.4252	29.1693	30.97	28.9883
8154725	1196.6161	1188.4143	622.4743	1191.043	1441.8342	1618.1537	655.5809	1302.0386	1609.2198	1491.7456	782.6129	1469.7926
8154727	5439.5747	5290.0327	5841.019	5518.741	5770.1	5569.8223	6148.6846	6168.9756	5638.738	5948.811	5697.9365	5827.873
8154729	98.9839	99.1106	107.095	81.5654	111.2445	97.2041	91.297	111.7124	86.6771	92.5764	79.3895	100.1018
8154731	65.3723	64.4133	67.7016	71.9475	78.3888	67.723	59.0353	78.0634	69.3583	63.9234	69.3314	61.4832
8154733	8291.481	8359.102	5569.066	8827.991	8062.5757	7957.104	5270.3926	8584.194	8626.557	8747.289	5788.314	7867.835
8154758	47.3776	43.3168	38.3717	52.7206	40.5394	43.9533	41.3714	45.7143	54.5414	43.2181	40.7016	48.6354
8154760	141.6003	146.7805	136.5646	133.8169	137.9386	140.9255	131.5967	133.2365	142.5565	123.499	147.3266	156.2472
8154763	113.0237	101.2883	109.2932	94.8884	103.6649	66.9358	105.7434	104.7498	69.3004	73.6305	89.3897	80.5058
8154765	923.7462	902.1544	660.5496	897.3616	931.6719	955.8194	602.9369	889.5008	1039.0487	1064.4916	612.0761	918.5049
8154777	56.9935	59.2181	45.4898	50.8366	60.154	55.4224	53.9587	73.1908	58.1485	58.059	52.8055	61.1236
8154779	125.2866	135.8273	81.7324	126.3173	140.9221	137.3509	78.9644	119.7171	129.5363	120.5518	96.5639	118.5346
8154785	1401.1489	1483.2587	569.7451	1466.0427	1381.9938	1333.7266	607.6312	1381.1832	1634.3799	1743.798	537.0797	1582.0267
8154793	1000.0325	933.4587	1073.9447	933.6291	967.072	953.0892	1149.2675	873.8605	794.5602	1002.7246	1202.8478	878.139
8154823	100.7331	92.1909	150.4173	98.6128	96.4755	86.7599	203.4079	109.2077	79.8436	78.2957	193.5367	91.6847
8154836	3607.2498	4096.987	3910.1804	3830.3704	4026.0942	3842.3381	4210.654	4006.0198	4281.774	4104.8906	3760.1917	4059.193
8154838	130.8465	126.8963	105.9746	106.85	114.1387	129.4646	110.2308	128.5558	106.5572	99.4283	124.0096	120.2379
8154841	77.3925	65.243	74.786	84.6888	79.1002	65.8964	68.6418	77.3843	82.7776	65.668	81.9032	71.8353
8154844	24.7718	24.4762	25.8004	26.77	25.399	25.4276	26.3485	25.1989	25.6682	26.1285	25.5343	25.9237
8154846	36.8716	34.9639	35.9341	36.8772	35.0026	36.044	34.3777	34.6288	34.0299	35.7333	33.1261	34.6927
8154848	244.3087	235.2616	218.959	201.2568	256.5668	238.1318	239.837	237.0041	233.1316	230.1744	239.9206	250.6026
8154856	2958.573	2871.7393	3613.2039	2781.4182	2849.3801	2960.834	3531.391	2929.2585	2952.7742	2759.3127	3254.2	2549.6023
8154866	39.3043	39.755	42.7048	42.5828	39.5473	37.6292	45.0588	37.4397	41.4015	37.9145	38.3664	37.875
8154868	201.9509	249.2219	209.879	195.2573	144.8555	181.232	210.281	219.0263	247.451	158.4683	181.69	155.2761
8154870	123.6916	126.3412	107.3463	130.9366	108.1958	118.448	124.9965	116.8412	128.4001	112.0618	114.725	131.3002
8154872	891.6717	921.062	880.2331	905.6278	892.3301	948.5973	864.811	846.5513	982.7672	954.3737	921.2145	931.2144
8154885	310.4266	289.4655	337.4909	360.2689	278.8742	312.0858	358.0364	314.4761	287.8457	312.9883	364.1059	344.8414
8154892	97.2608	87.1099	84.3813	88.6484	91.9859	86.4818	88.3674	101.8772	90.4396	84.5245	97.2086	96.6439
8154914	34.2245	31.6983	31.9379	33.1442	33.7404	32.6054	32.5202	34.6135	33.6012	33.3616	34.1657	33.985
8154916	305.0669	302.1077	384.9272	299.5777	313.309	329.2994	389.7671	276.3506	346.1923	333.4259	357.2426	280.2181
8154934	158.2085	174.1753	154.8751	172.1401	163.0231	157.8618	165.7993	164.7563	179.4137	155.5791	152.5463	167.2441
8154951	1256.9517	1467.5225	975.3461	1385.0122	1305.348	1319.3528	944.8597	1334.3059	1285.586	1342.083	854.5051	1216.2318
8154953	77.3566	78.7603	74.7744	80.9298	78.6314	87.1981	78.6231	79.1596	100.7655	85.0512	78.8305	90.8777
8154962	507.2525	537.5139	746.1561	605.1752	573.0836	591.5147	818.4325	603.2606	635.6913	557.8998	815.4322	686.3887
8154973	62.3621	69.8106	60.3895	60.3281	71.8046	65.3574	64.6224	59.9082	64.8864	61.8893	68.9845	61.7659
8154979	55.2268	50.9685	46.9194	49.0928	45.0821	50.4264	43.1728	50.2193	51.876	49.274	51.8872	56.458
8154981	275.2405	264.9359	361.3306	283.9786	270.5574	277.5896	368.5967	256.65	273.5517	303.8538	372.3686	293.8459
8155024	64.6054	62.7331	60.7433	59.3167	66.655	63.9859	66.1145	73.4932	65.0079	58.3242	67.6018	59.6007
8155026	41.34	37.9395	44.3885	39.3243	37.5673	43.5701	42.2638	39.8794	40.8189	42.678	37.6856	42.0738
8155048	642.8602	676.1	827.0059	671.7436	692.3945	709.5888	959.6005	649.0527	726.4562	682.1796	942.5373	686.997
8155062	844.4836	811.2178	1062.0486	946.3357	879.1569	934.4271	1012.7351	891.1676	957.2233	796.0701	953.6686	919.7682
8155073	310.6115	280.8452	322.1896	315.8153	326.9804	320.2793	331.3274	319.5324	341.6655	308.3238	323.4036	348.611
8155081	57.0456	51.9592	57.4361	50.8911	60.5934	55.7481	53.7188	60.0818	54.4912	53.1803	52.7832	59.2458
8155083	358.4513	339.5457	311.7235	311.3158	365.3874	376.7115	286.0402	306.1911	442.534	389.2138	272.2909	330.2159
8155096	849.6338	900.6385	1046.6981	982.6738	886.9817	927.1778	1041.0396	922.3456	822.4894	777.5651	977.0942	919.3167
8155110	604.0818	581.1221	556.5132	686.2492	540.8668	602.582	586.3447	581.6158	568.7324	600.0925	558.289	582.2428
8155121	127.7895	122.7599	123.2043	122.45	117.8039	110.2684	127.2266	113.4583	128.285	120.0505	129.8966	120.9147
8155148	245.3456	232.7375	256.7869	250.4674	249.193	230.7545	294.9488	256.8762	222.9424	225.6901	290.8786	272.1076
8155167	121.1171	135.4955	124.845	127.6569	110.7878	125.4907	141.0566	150.2706	147.2989	136.8581	142.7447	160.6144
8155169	456.0372	428.5729	412.0198	625.9363	405.3095	451.7569	393.551	567.5601	460.7519	400.0757	353.2377	468.8015
8155192	532.2014	477.2214	395.0775	546.684	477.0711	494.7288	363.5026	461.514	405.5911	444.8118	274.8325	466.9939
8155200	70.453	72.0547	83.1626	68.2473	78.4373	71.0859	90.0594	80.3523	77.5976	67.2226	87.9386	81.3091
