MDA-MB-231 cells - No treatment [Sample 1]	MDA-MB-231 cells - only 5-ALA [Sample 2]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 3]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 4]	MDA-MB-231 cells - No treatment [Sample 5]	MDA-MB-231 cells - only 5-ALA [Sample 6]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 7]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 8]	MDA-MB-231 cells - No treatment [Sample 9]	MDA-MB-231 cells - only 5-ALA [Sample 10]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 11]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 12]	
7898030	113.0758	123.0596	90.4103	109.717	113.9281	116.3383	103.904	114.7294	115.9452	111.8784	95.7505	118.8776
7898034	61.7219	65.3225	61.5649	57.3221	67.2728	67.4309	57.8803	67.4829	65.1215	63.1154	64.5374	67.9437
7898040	47.7091	50.1478	49.4407	47.8354	48.6529	47.5418	48.2879	48.2109	49.5994	50.0557	49.4639	52.6839
7898048	62.4042	66.7017	62.4048	62.4183	60.3929	60.7116	61.3384	58.5702	59.6784	64.1383	62.9081	60.0043
7898052	117.2615	132.8353	102.8034	116.8642	123.3792	120.287	111.8831	121.845	117.5466	116.2396	108.7028	123.2899
7898057	90.2759	82.6938	76.945	75.4024	88.716	90.8345	83.8517	99.9841	92.3088	81.8021	97.8206	99.9524
7898070	252.6627	254.5517	361.7657	281.9188	259.3868	287.0472	363.0648	271.1865	264.1875	274.02	403.9387	305.3043
7898084	210.2484	167.5193	208.2678	182.5151	217.3259	220.8888	223.2985	187.6543	194.1844	200.0939	220.9663	176.2893
7898102	131.4159	143.5612	138.0787	135.1554	134.8371	137.9159	129.6369	143.1315	134.4825	133.4814	146.8346	141.1474
7898112	64.7958	73.1456	76.598	75.1026	91.0953	68.2128	79.5966	93.2686	72.6157	68.4935	67.7866	75.2471
